player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Mikey Matthews,174168,WR,UCLA,1,0.0,1,1,9.0,6.6,0,0,0.0,0.0,0,0,1,,1,0,0,324,79.6,59.3,45.7,,0,0,1,2,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Robby Washington,170096,WR,COAST CAR,1,100.0,1,1,19.0,3.2,0,0,0.0,100.0,1,0,0,0.0,1,0,1,141,72.8,65.4,72.6,51.1,0,0,1,2,,156.3,0.0,0,0,0,0,1,0,0.0,12,12.0
Eric Singleton Jr.,170078,WR,AUBURN,1,0.0,1,1,37.0,3.1,0,0,0.0,0.0,0,0,1,,1,0,0,115,77.0,67.7,51.3,58.9,0,0,1,3,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Dominiq Ponder,174401,QB,COLORADO,1,0.0,1,1,5.0,3.3,0,0,0.0,0.0,0,0,1,,2,0,0,143,64.4,47.2,50.8,58.3,0,0,2,0,100.0,39.6,50.0,1,0,0,0,0,0,0.0,0,0.0
Benjamin Brahmer,174660,TE,IOWA STATE,2,100.0,1,1,38.0,3.2,0,1,100.0,100.0,1,0,0,0.0,1,0,1,193,72.4,68.1,85.3,,0,0,2,4,,118.8,0.0,0,0,0,0,0,0,0.0,45,45.0
Que'Sean Brown,170041,WR,DUKE,1,0.0,1,1,18.0,3.3,0,0,0.0,0.0,0,0,0,,1,0,0,154,79.5,71.7,48.5,,0,0,1,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
William Watson III,174771,QB,VA TECH,2,0.0,1,1,16.0,3.47,0,0,0.0,0.0,0,0,2,,3,0,0,337,19.0,39.2,44.9,50.5,0,0,3,0,50.0,39.6,33.3,1,1,0,0,0,0,0.0,0,0.0
Cade Backe,163937,P,JVILLE ST,1,100.0,1,1,2.0,3.2,0,0,0.0,100.0,1,0,0,0.0,1,0,0,196,60.3,61.0,60.6,,0,0,1,0,,87.5,0.0,0,0,0,0,0,0,0.0,5,5.0
Dillon Bell,163734,WR,GEORGIA,1,0.0,1,1,13.0,3.8,0,0,0.0,0.0,0,0,0,,1,0,0,173,38.2,60.7,46.8,61.0,0,0,1,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Landon Rehkow,175039,P,UTAH ST,1,100.0,1,1,0.0,2.2,0,0,0.0,100.0,1,0,0,0.0,1,0,0,329,60.3,62.7,60.6,,0,0,1,0,,91.7,0.0,0,0,0,0,0,0,0.0,6,6.0
Jaxton Eck,175078,LB,NEW MEXICO,1,100.0,1,1,13.0,1.7,0,0,0.0,100.0,1,0,0,0.0,1,0,1,241,60.3,70.7,75.4,,0,0,1,0,,118.8,0.0,0,0,0,0,0,0,0.0,30,30.0
Mason Mini,175102,TE,CAL,1,100.0,1,1,27.0,2.9,0,0,0.0,100.0,1,1,1,0.0,1,0,1,130,73.1,57.7,76.2,64.5,0,0,1,4,0.0,158.3,0.0,0,0,0,0,1,0,0.0,42,42.0
Zavion Thomas,163697,WR,LSU,1,100.0,1,1,9.0,4.2,0,0,0.0,100.0,1,0,0,0.0,1,0,1,211,66.5,64.9,71.7,54.0,0,0,1,2,,118.8,0.0,0,0,0,0,0,0,0.0,16,16.0
Suderian Harrison,175436,WR,VIRGINIA,1,0.0,1,1,32.0,5.1,0,0,0.0,0.0,0,0,0,,1,0,0,335,63.7,70.1,49.9,,0,0,1,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
