player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Deonte Anderson,146861,ED,MISS STATE,10,0,0,227,60.0,1,5,86,98.9,9.3,8,2,4.7,1,91,90,7,0,65.0,0,3,21,95.5,14.3,3,7.1,0,22,21,3
Dameon Wilson,146884,LB,E CAROLINA,8,0,0,156,57.9,1,4,38,23.6,5.3,2,2,9.2,1,165,39,6,0,66.0,0,2,10,28.6,10.0,1,20.0,1,35,10,3
Daylan Carnell,146885,CB,MISSOURI,9,0,0,229,57.3,0,1,14,6.1,0.0,0,0,3.6,0,229,14,1,0,54.1,0,0,3,3.4,0.0,0,0.0,0,87,3,0
Travion Ford,146886,DI,TOLEDO,5,0,0,316,51.6,0,2,37,100.0,0.0,0,0,2.7,0,38,38,2,0,54.5,0,1,14,100.0,0.0,0,3.6,0,14,14,1
Zachary Lovett,146889,LB,IOWA STATE,8,0,0,193,58.1,0,1,12,23.1,0.0,0,0,4.2,0,52,12,1,0,55.3,0,0,4,100.0,0.0,0,0.0,0,4,4,0
Darius Jackson,146892,S,TEXAS ST,6,0,0,314,60.0,0,0,1,5.0,0.0,0,1,0.0,0,20,1,0,0,,0,0,0,0.0,,0,,0,6,0,0
Arden Walker,146893,ED,COLORADO,9,1,0,143,72.7,4,16,186,96.2,14.0,26,2,7.5,4,209,201,24,0,76.7,3,7,68,97.5,26.5,18,11.8,3,79,77,13
Jon Jones,146895,ED,UTSA,9,3,0,331,66.2,0,6,100,100.0,7.0,7,0,3.0,0,106,106,6,0,58.7,0,1,21,100.0,9.5,2,2.4,0,24,24,1
Kolbe Fields,146919,LB,LA TECH,5,0,0,208,56.4,2,3,43,24.7,4.7,2,0,8.1,1,186,46,6,0,58.9,0,2,22,70.6,9.1,2,9.1,1,34,24,3
Ronnie Porter,146922,LB,APP STATE,4,0,0,108,64.5,0,1,5,11.4,0.0,0,0,10.0,0,44,5,1,0,59.7,0,0,1,6.3,0.0,0,0.0,0,16,1,0
Nick Barrett,146926,DI,S CAROLINA,9,1,0,289,60.8,1,4,168,100.0,4.2,7,0,2.7,2,176,176,7,1,67.4,0,4,51,100.0,9.8,5,5.9,1,54,54,5
Christian Charles,146944,S,VIRGINIA,10,0,0,335,70.4,3,0,9,5.4,0.0,0,0,16.7,0,166,9,3,0,77.1,3,0,4,5.6,0.0,0,37.5,0,71,4,3
Amari McNeill,146950,DI,COLORADO,8,0,0,143,69.3,0,8,138,100.0,10.1,14,1,3.6,1,151,151,9,0,74.2,0,5,56,100.0,17.9,10,6.3,1,64,64,6
John Howse IV,146966,S,MIDDLE TN,4,0,0,224,76.6,1,0,3,2.8,0.0,0,0,50.0,1,106,3,2,0,69.0,1,0,2,3.8,0.0,0,25.0,0,53,2,1
Miles Capers,146967,ED,VANDERBILT,10,2,0,333,72.6,3,19,187,82.0,11.2,21,3,8.0,4,244,200,26,0,80.4,2,12,79,83.5,21.5,17,12.7,3,103,86,17
Marlen Sewell,146968,S,VANDERBILT,10,0,0,333,58.2,0,0,2,0.9,0.0,0,1,0.0,0,230,2,0,0,,0,0,0,0.0,,0,,0,78,0,0
James Ziglor,146970,S,KENNESAW,3,0,0,200,59.8,0,0,0,12.5,,0,0,,0,8,1,0,0,,0,0,0,0.0,,0,,0,3,0,0
Devin Lee,146975,DI,USF,9,0,0,327,64.2,1,7,157,100.0,7.0,11,3,3.2,1,170,170,9,0,68.5,0,5,38,100.0,15.8,6,6.6,0,44,44,5
Marcus Bradley,146977,ED,ARK STATE,7,0,0,113,57.0,0,0,28,71.4,0.0,0,0,3.6,1,42,30,1,0,53.7,0,0,10,91.7,0.0,0,0.0,0,12,11,0
Tunmise Adeleye,146982,ED,UNLV,8,1,2,325,72.9,2,16,185,98.0,15.7,29,4,7.0,4,205,201,22,0,73.3,0,10,70,98.8,21.4,15,10.0,2,81,80,12
Marcus Burris Jr.,146987,ED,MEMPHIS,7,0,0,218,57.5,0,1,31,96.9,6.5,2,0,1.6,0,32,31,1,0,60.0,0,1,9,90.0,11.1,1,5.6,0,10,9,1
Tyreek Chappell,146989,CB,TEXAS A&M,9,0,0,312,66.4,0,2,8,3.0,0.0,0,3,25.0,1,271,8,3,0,57.9,0,1,2,1.9,0.0,0,25.0,0,107,2,1
Jardin Gilbert,146997,S,LSU,3,0,0,211,57.5,0,2,4,13.3,0.0,0,0,50.0,1,30,4,3,0,59.6,0,0,1,16.7,0.0,0,0.0,0,6,1,0
